userId,likes
102,[780]
103,"[955, 764, 288]"
104,"[863, 758]"
105,[998]
106,[254]
107,"[1010, 1011]"
108,"[1002, 1023, 1020, 1025, 714, 714, 1027, 154, 1028, 254, 714, 223, 462, 943, 1046, 1047, 229, 1082, 16, 3]"
109,"[904, 903, 1029, 1016, 38]"
110,"[459, 1066, 1067, 988, 1068]"
111,"[898, 1145]"
112,[1122]
113,[45]
114,"[471, 1126, 616]"
115,"[362, 953, 954, 908, 438, 1128, 498, 839, 191, 45, 169, 993, 374, 1129, 965, 875, 880, 630, 643, 918, 1130, 775, 216, 613, 1131, 1132]"
116,[329]
117,"[349, 350, 745, 329, 1140, 1151]"
118,"[1165, 655, 35, 1166, 1030, 409, 376, 706, 67, 456, 29, 1024, 1167, 799, 638, 820, 45, 28, 201]"
119,"[216, 530, 507, 1174, 507, 655]"
120,[704]
